course,final_score
AE20202-INTRODUCTION TO FLIGHT VEHICLE CONTROLS ,2.8125
AE21001-INTRODUCTION TO AERODYNAMICS ,9.414915966386555
AE21002-LOW SPEED AERODYNAMICS ,6.3088235294117645
AE21003-DYNAMICS FOR AEROSPACE ENGINEERS ,4.614929785661493
AE21004-INTRODUCTION TO AEROSPACE STRUCTURES ,6.888282025819265
AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS ,7.183827493261456
AE21201-INTRODUCTION TO AERODYNAMICS ,6.441200828157349
AE21202-LOW SPEED AERODYNAMICS ,2.419354838709677
AE21203-DYNAMICS FOR AEROSPACE ENGINEERS ,4.00323275862069
AE21204-INTRODUCTION TO AEROSPACE STRUCTURES ,3.0597014925373127
AE21205-THERMODYNAMICS AND AEROSPACE PROPULSION SYSTEMS ,6.962933118452861
AE29002-AERODYNAMICS LAB-I ,8.157622739018088
AE29004-STRUCTURES LAB -I ,7.817460317460316
AE29202-AERODYNAMICS LABORATORY - I ,4.057971014492753
AE29204-STRUCTURES LABORATORY - I ,4.1
AE31001-THERMODYNAMICS & AEROSPACE PROP.SYSTEM ,7.9435831180017225
AE31002-AEROSPACE STRUCTURAL DYNAMICS ,7.291537667698658
AE31004-AIRCRAFT STABILITY AND CONTROL ,4.993233082706767
AE31006-COMPUTER APPLICATION IN AERO. ENGINEERING ,6.8358358358358355
AE31007-MECHANICS OF FLIGHT ,6.168286445012788
AE31008-THEORY OF JET PROPULSION ,6.645833333333334
AE31009-AEROSPACE STRUCTURAL ANALYSIS ,10.453434122718953
AE31010-VISCOUS FLOW THEORY ,5.840852130325814
AE31103-HIGH SPEED AERODYNAMICS ,7.49998634364843
AE39001-AERODYNAMICS LAB-II ,12.066777357914424
AE39002-SYSTEM LABORATORY ,6.801415094339623
AE39003-STRUCTURES LAB -II ,11.418276102304802
AE39004-PROPULSION LABORATORY ,7.094230769230769
AE39201-INNOVATION LABORATORY I ,3.5303030303030307
AE40004-ADVANCED STRUCTURAL DYNAMICS ,2.857142857142857
AE40005-SPACE DYNAMICS ,5.0
AE40006-COMPOSITE STRUCTURES ,3.0
AE40007-INTRODUCTION TO HELICOPTER ENGINEERING ,4.0
AE40008-AEROELASTICITY ,2.0
AE40009-ROCKET PROPULSION ,3.7
AE40018-INTRODUCTION TO TURBULENCE ,4.919191919191919
AE40019-AUTOMATIC CONTROL OF AIRCRAFT ,6.491228070175438
AE40030-ADVANCED GAS TURBINE THEORY ,8.0
AE40031-COMPUTATIONAL FLUID DYNAMICS ,5.909632571996028
AE40033-FINITE ELEMENT METHODS ,10.972222222222221
AE40034-ADVANCED COMPUTATIONAL FLUID DYNAMICS ,6.75
AE40037-PHYSICS OF FLUID FLOW EXPERIMENTS ,10.666666666666666
AE47006-PROJECT - PART 2 ,3.8095238095238093
AE47007-PROJECT-I ,8.335632183908046
AE48002-COMPREHENSIVE VIVA VOCE ,2.0
AE48003-SUMMER TRAINING ,6.372641509433962
AE49003-AIRCRAFT DESIGN & OPTIMISATION ,7.864988558352403
AE49012-FLIGHT TESTING LABORATORY ,4.642857142857143
AE51003-APPLIED ELASTICITY & PLASTICITY ,7.166666666666667
AE51005-UNSTEADY AERODYNAMICS ,7.657142857142857
AE51007-COMBUSTION PROCESSES IN JET ENGINES ,3.727272727272727
AE51010-EXPERIMENTAL STRESS ANALYSIS ,5.0
AE51016-FRACTURE MECHANICS ,4.0
AE51017-ADVANCED GAS DYNAMICS ,2.5
AE51018-INDUSTRIAL AERODYNAMICS ,3.75
AE51019-SMART STRUCTURES ,7.017857142857142
AE51026-HYPERSONIC AERODYNAMICS ,2.0
AE57003-PROJECT ,4.142857142857142
AE58001-COMPREHENSIVE VIVA VOCE ,2.3157894736842106
AE60006- ,3.375
AE60030- ,3.0
AE61001- ,2.0
AE61002- ,2.0
AE61004- ,2.727272727272727
AE61007- ,8.444444444444445
AG20101-CROP PRODUCTION TECHNOLOGY ,6.324299909665763
AG20103-SOIL TECHNOLOGY ,6.252830188679245
AG20201-SOIL TECHNOLOGY ,6.235252309879176
AG20202-CROP PRODUCTION TECHNOLOGY ,3.15
AG20203-THEORY OF MACHINE ELEMENTS ,6.259837177747626
AG29001-CROP PRODUCTION TECHNOLOGY LAB. ,6.975752508361204
AG29003-SOIL TECHNOLOGY LAB. ,6.492150706436421
AG29004-AGRICULTURAL BIOTECHNOLOGY LAB. ,8.01814058956916
AG29201-SOIL TECHNOLOGY LABORATORY ,7.653691004437274
AG29202-CROP PRODUCTION TECHNOLOGY LABORATORY ,2.9999999999999996
AG29203-AGRICULTURAL BIOTECHNOLOGY LABORATORY ,7.1891891891891895
AG31001-AGRICULTURAL MACHINERY ,7.0837121212121215
AG31002-TRACTOR & POWER SYSTEMS ,7.539271610355419
AG31003-LAND & WATER RESOURCES ENGINEERING ,9.714020283866814
AG31004-IRRIGATION & DRAINAGE ENGINEERING ,6.773191823899371
AG31005-PRINCIPLES OF FOOD ENGINEERING ,8.688077077478923
AG31006-FOOD SCIENCE & TECHNOLOGY ,5.930980799169694
AG31007-THEORY & DESIGN OF MACHINE ELEMENTS ,6.8217592592592595
AG31008-POST HARVEST ENGINEERING ,5.581521739130435
AG31026-ORGANIC FOOD CHAIN MANAGEMENT ,6.700460829493087
AG31201-DESIGN OF FARM MACHINERY ,2.4615384615384617
AG39001-AGRICULTURAL MACHINERY LAB. ,7.435227272727273
AG39002-TRACTOR & POWER SYSTEMS LABORATORY ,6.624242424242424
AG39003-LAND & WATER RESOURCES ENGINEERING LAB. ,11.601401206527747
AG39004-IRRIGATION & DRAINAGE ENGINEERING LABORATORY ,7.2713529856387
AG39005-FOOD ENGINEERING LAB. ,10.740322104018912
AG39006-FOOD SCIENCE & TECHNOLOGY LABORATORY ,6.598452611218568
AG39201-FARM MACHINERY LABORATORY ,3.716417910447761
AG40009-CAD AND SIMULATION OF AGRICULTURAL MACHINERY ,7.0
AG40011-TUBEWELLS AND PUMPS ,6.102220166512488
AG47006-PROJECT - PART 2 ,3.4000000000000004
AG47007-PROJECT-I ,6.841025641025641
AG48002-COMPREHENSIVE VIVA VOCE ,2.333333333333333
AG48003-SUMMER TRAINING ,5.392857142857143
AG57003-PROJECT - PART 3 ,2.8076923076923075
AG58001-COMPREHENSIVE VIVA VOCE ,2.5999999999999996
AG60001- ,3.0
AG60008- ,4.4
AG60062- ,5.5
AG60063- ,3.15
AG60092- ,3.0
AG60096- ,0.5
AG60103- ,2.0
AG60124- ,1.0
AG60127- ,6.1875
AG60129- ,2.0
AG60151- ,3.0
AG60201- ,0.0
AG60203- ,2.333333333333333
AG60209- ,5.888888888888889
AG60301- ,3.25
AG60302- ,2.6666666666666665
AG61693- ,3.333333333333333
AG66001- ,5.0
AG66002- ,5.0
AG69008- ,3.0
AG69011- ,4.0
AG69014- ,3.391304347826087
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS ,18.234303976139973
AI58001-COMPREHENSIVE VIVA VOCE ,2.9444444444444446
AI60002- ,6.388613861386139
AI60003- ,12.157327586206897
AI60004- ,15.245173745173744
AI60006- ,3.5192307692307696
AI60007- ,3.153846153846154
AI60008- ,3.380952380952381
AI60201- ,3.1359223300970873
AI61002- ,12.239029892837
AI61003- ,9.569873260910997
AI61004- ,6.315789473684211
AI61005- ,19.56591644706936
AI61006- ,3.666666666666666
AI61009- ,9.241109530583214
AI67001- ,3.470588235294118
AI69002- ,4.027027027027027
AR10301-INTRODUCTION TO ARCHITECTURE ,7.342021276595744
AR10302-HISTORY OF ARCHITECTURE 1 ,7.8848881614839055
AR10304-BUILDING MATERIALS ,7.719114219114219
AR12002-BUILDING MATERIALS ,6.605263157894736
AR12003-INTRODUCTION TO ARCHITECTURE ,5.21111111111111
AR13201-BASIC DESIGN-I ,7.281060606060605
AR13202-BASIC DESIGN-II  AND MODELING ,6.028388278388279
AR13203-DESCRIPTIVE GEOMETRY-I ,6.171717171717171
AR13204-DESCRIPTIVE GEOMETRY-II ,6.6893939393939394
AR13205-GRAPHICS AND VISUAL COMMUNICATION ,5.55984555984556
AR13301-BASIC DESIGN 1 ,8.013829787234043
AR13302-BASIC DESIGN 2 ,6.394598155467721
AR13304-DESCRIPTIVE GEOMETRY 2 ,7.740274599542333
AR13305-GRAPHICS AND VISUAL COMMUNICATION ,6.088849135360763
AR13307-DESCRIPTIVE GEOMETRY 1 ,7.390217391304349
AR20201-HISTORY OF ARCHITECTURE II ,7.558260869565218
AR20202-WATER SUPPLY AND SANITATION ,2.75609756097561
AR20203-ADVANCED BUILDING MATERIALS AND COMPOSITES ,7.049712192569336
AR20205-BUILDING CONSTRUCTION ,5.980783444198078
AR20207-CLIMATOLOGY AND SOLAR ARCHITECTURE ,6.229442208165613
AR22001-ADVANCED BUILDING MATERIALS AND COMPOSITES ,6.870454545454545
AR22003-CLIMATOLOGY & SOLAR ARCHITECTURE ,7.580645161290322
AR22004-WATER SUPPLY AND SANITATION ,4.940092165898617
AR22005-HISTORY OF ARCHITECTURE-I ,7.725
AR22006-HISTORY OF ARCHITECTURE-II ,8.32121212121212
AR22007-ENVIRONMENTAL STUDIES ,6.571428571428571
AR22008-ERGONOMICS AND  PRODUCT DESIGN ,3.5
AR23201-ARCHITECTURAL DESIGN I AND FIELD STUDY ,7.6037878787878785
AR23202-ARCHITECTURAL DESIGN II AND FIELD STUDY ,6.7270471464019845
AR23203-BUILDING CONSTRUCTION - I ,7.63125
AR23204-BUILDING CONSTRUCTION II ,6.883116883116883
"AR23205-PHOTOGRAPHY, ART & ADVANCED VISUAL COMMUNICATION ",7.846969696969698
AR23206-COMPUTER AIDED DESIGN AND SIMULATION ,6.9371212121212125
AR23301-ARCHITECTURAL DESIGN I ,6.648829431438127
AR23302-ARCHITECTURAL DESIGN II ,3.590909090909091
AR23303-COMPUTER AIDED DESIGN AND SIMULATION ,7.968827313211282
AR23304-INDIGENOUS TECHNOLOGIES AND INNOVATIONS WORKSHOP ,3.255813953488372
AR28202-FIELD TRIP I ,3.4893617021276593
AR29201-BUILDING CONSTRUCTION SESSIONAL I ,7.0060060060060065
